Year,Status,Life_expectancy,Adult_Mortality,GDP,Income_composition_of_resources
2015,0,77.8,74,3954.22783,0.762
2014,0,77.5,8,4575.763787,0.761
2013,0,77.2,84,4414.72314,0.759
2012,0,76.9,86,4247.61438,0.752
2011,0,76.6,88,4437.17868,0.738
2010,0,76.2,91,494.358832,0.725
2009,0,76.1,91,4114.136545,0.721
2008,0,75.3,1,437.539647,0.713
2007,0,75.9,9,363.13685,0.703
2006,0,74.2,99,35.1293,0.696
2005,0,73.5,15,279.142931,0.685
2004,0,73,17,2416.588235,0.681
2003,0,72.8,18,189.681557,0.674
2002,0,73.3,15,1453.642777,0.67
2001,0,73.6,14,1326.97339,0.662
2000,0,74.4,123,3868.83123,0.705
2015,0,74.1,126,495.254866,0.697
2014,0,75.9,12,12969.7712,0.822
2013,0,75.6,126,8161.36966,0.794
2012,0,74.8,129,7193.61764,0.788
2011,0,75.2,127,5878.76127,0.782
2010,0,74.1,137,333.4376,0.77
2009,0,74.1,138,2579.193168,0.776
2008,0,74.6,12,3994.712355,0.739
2007,0,74.4,123,3843.591213,0.736
2006,0,74.4,121,3684.8481,0.732
2005,0,73.9,128,3526.978143,0.729
2004,0,73.5,132,3218.381655,0.72
2003,0,73.3,137,2993.832531,0.725
2002,0,73.2,14,41.26997,0.721
2001,0,72.9,141,2158.299,0.692
2000,0,72.7,134,93.1661567,0.657
2014,0,72.6,134,783.261699,0.645
2013,0,72.6,141,694.435119,0.644
2012,0,72,142,622.7427477,0.639
2011,1,81.3,66,4991.98289,0.918
2010,1,81,67,3416.71483,0.91
2009,1,86,69,3472.37977,0.908
2008,1,79.9,73,281.81763,0.902
2007,1,81.1,68,554.71532,0.887
2006,1,79.8,81,443.99361,0.854
2005,1,78.8,88,3212.9355,0.837
2004,0,72.5,119,7891.299776,0.752
2014,0,72.2,121,7875.756953,0.745
2013,0,71.9,123,7496.335728,0.742
2012,0,71.6,125,7189.691229,0.741
2011,0,78,132,495.294791,0.728
2010,0,73,141,5574.6382,0.719
2009,0,73,14,3851.437869,0.708
2008,0,72,199,8318.429294,0.796
2007,0,71.7,23,7978.825443,0.796
2014,0,71.9,194,694.243915,0.793
2013,0,72,232,6519.71753,0.787
2012,0,73,222,63.38877,0.78
2011,0,70,226,5176.172649,0.771
2010,0,70,224,6376.183153,0.755
2009,0,68.9,243,3848.215966,0.723
2008,0,68.1,252,3126.71767,0.713
2007,0,68.2,247,2378.33927,0.703
2006,0,67.2,262,1479.383142,0.687
2005,0,67.7,254,1244.373185,0.681
2004,1,87,77,4651.38647,0.889
2003,1,83,78,4474.5717,0.886
2002,1,83,8,4772.77415,0.884
2014,1,80,81,4438.23741,0.878
2013,1,79.8,85,4488.5615,0.876
2012,1,79.5,86,4443.83131,0.871
2011,1,78.3,95,3743.95693,0.878
2010,0,70,177,4852.223666,0.705
2009,0,69.8,18,4688.538443,0.706
2008,0,69.4,189,4673.63848,0.702
2007,0,69.4,188,4516.24675,0.7
2006,0,69.5,186,4344.15177,0.7
2005,0,69.5,184,4258.788611,0.7
2004,0,69.6,181,447.22796,0.699
2003,0,69.6,181,4324.876427,0.7
2002,0,69.4,184,4187.3783,0.692
2001,0,69,191,3933.332215,0.695
2000,0,68.7,197,3831.53819,0.691
2014,0,68.5,199,3556.561825,0.678
2013,0,68.2,21,3419.275719,0.677
2012,0,68.3,196,3364.423711,0.668
2011,0,77,9,535.86555,0.735
2010,0,76.8,92,4716.673325,0.728
2009,0,76.9,92,55.156834,0.711
2008,0,76,98,575.31664,0.71
2007,0,75.4,16,418.292176,0.703
2006,1,74.3,138,7853.335191,0.787
2005,1,74.1,14,7674.86559,0.781
2004,1,73.9,139,7378.25539,0.778
2003,1,73.7,144,7813.83499,0.775
2002,1,72.9,155,7296.122479,0.761
2001,1,72.6,157,5932.899677,0.755
2014,1,72.2,161,4513.13628,0.75
2013,1,72.1,16,3893.68998,0.745
2012,1,72.2,157,3381.57837,0.738
2011,1,72,155,271.46824,0.729
2010,1,71.8,157,287.534843,0.723
2009,1,71.6,16,1764.97387,0.713
2008,1,71.1,163,169.28586,0.709
2007,0,59.1,297,312.7489794,0.404
2006,0,58.6,33,282.7555252,0.398
2005,0,73,117,3529.61843,0.643
2004,0,72.8,12,3558.796314,0.643
2003,0,72.7,121,348.482762,0.636
2002,0,72.5,123,3312.825985,0.627
2001,0,72.4,124,3444.5566,0.621
2000,0,72.4,124,3638.95946,0.615
2014,0,72.3,126,3112.285712,0.602
2013,0,72.1,129,234.28992,0.596
2012,0,71.8,134,248.13459,0.582
2011,0,71.4,14,1976.45856,0.574
2010,0,71.1,144,1768.92132,0.572
2009,0,74.2,144,7227.73968,0.7
2008,0,73.6,15,625.65544,0.695
2007,0,73.5,146,5433.7245,0.683
2006,0,71.4,167,2472.197831,0.65
2005,0,63.2,23,852.954379,0.497
2004,0,62.9,233,834.341949,0.49
2003,0,62.5,237,788.632653,0.484
2002,0,62.2,241,829.7586885,0.479
2014,0,61.8,246,769.1742883,0.476
2013,0,61.3,251,778.5454199,0.465
2012,0,61,255,795.97519,0.461
2011,0,66,259,72.759313,0.459
2010,0,63,262,648.38717,0.451
2009,0,79.5,96,1647.44179,0.768
2008,0,79.4,96,1569.66631,0.762
2007,0,78.9,93,612.623418,0.734
